ccode,year,oof_amt,oof_adj,oda_amt,oda_adj,vof_amt,vof_adj
702,2016,450447148.98834604,450447148.98834467,10590705.542,10590705.542,0,0
702,2017,34570144.710629106,34570144.710629106,364762045.1657164,364762045.1657164,0,0
702,2018,109311929.7122312,109311929.7122312,181000086.8812523,181000086.8812523,0,0
702,2019,77231077.66003776,77231077.66003776,251140361.6453812,251140361.6453812,0,0
702,2020,616494025.3178438,616494025.3178438,37788922.753314376,37788922.753314376,0,0
702,2021,20000000,20000000,186971317.8294564,186971317.8294564,0,0
703,2002,6039505.05689398,6039505.05689398,1932641.618206068,1932641.618206068,0,0
703,2006,155769741.1186425,155769741.1186425,3657508.35346206,3657508.35346206,0,0
703,2007,7916763.28469003,7916763.28469003,26020701.780510202,26020701.780510202,7197057.53153639,7197057.53153639
703,2008,132815676.01381892,132815676.01381892,11663082.302910157,11663082.302910157,38572023.8253109,38572023.8253109
703,2009,523450055.72677994,523450055.72677994,24060745.304241396,24060745.304241396,0,0
703,2011,271082261.82869226,271082261.82869226,6149400.90670638,6149400.90670638,0,0
703,2012,624749917.4882727,624749917.4882727,33686616.2820507,33686616.2820507,0,0
703,2013,1236315699.0474823,1236315699.0474823,0,0,0,0
703,2014,0,0,9433161.86704574,9433161.86704574,27677380.7852122,27677380.7852122
703,2015,207906171.917572,207906171.917572,160555153.44450772,160555153.44450772,0,0
703,2017,177460076.181229,177460076.181229,47701976.75401633,47701976.75401633,0,0
703,2018,30515792.9406029,30515792.9406029,83085118.90391324,83085118.90391324,0,0
703,2019,0,0,18619957.7531073,18619957.7531073,0,0
704,2001,30379273.350346,30379273.350346,10171936.068831261,10171936.068831261,0,0
704,2003,71230501.3326046,71230501.3326046,29428430.2562419,29428430.2562419,0,0
704,2004,0,0,76489730.18860571,76489730.18860571,22776521.2188663,22776521.2188663
704,2005,41234433.6426686,41234433.6426686,81630389.3703566,81630389.3703566,0,0
704,2006,32387642.859723598,32387642.859723598,0,0,0,0
704,2007,501907398.3730304,501907398.3730304,89222434.8283634,89222434.8283634,0,0
704,2008,5336050726.82166,5336050726.82166,95911441.17020798,95911441.17020798,235243607.75673822,235243607.75673822
704,2009,105305924.484545,105305924.484545,72181084.95409831,72181084.95409831,0,0
704,2010,482687123.227453,482687123.227453,261663922.5343156,261663922.5343156,69636346.789812,69636346.789812
704,2011,284312041.316632,284312041.316632,204283098.12078565,204283098.12078565,191861308.289239,191861308.289239
704,2012,344754671.4739812,344754671.4739812,345016207.4965086,345016207.4965086,31936160.7755829,31936160.7755829
704,2013,1692054828.28475,1692054828.28475,816472856.475002,816472856.475002,0,0
704,2014,377929099.1459145,377929099.1459145,143139995.88306686,143139995.88306686,73057214.32064609,73057214.32064609
704,2015,168341335.436842,168341335.436842,168341.335436842,168341.335436842,29358728.90018537,29358728.90018537
704,2016,0,0,25332888.4576221,25332888.4576221,0,0
704,2017,507120976.1417897,507120976.1417897,88165392.3936746,88165392.3936746,88153869.01210439,88153869.01210439
704,2018,544924873.939338,544924873.939338,100593131.7292018,100593131.7292018,272462436.969669,272462436.969669
704,2019,2657220542.345007,2657220542.345007,27876649.2383747,27876649.2383747,81810007.7025805,81810007.7025805
704,2020,571707242.917757,571707242.917757,760744.0451044589,760744.0451044589,236599491.04924303,236599491.04924303
704,2021,200000000,200000000,127500000,127500000,330575000,330575000
705,2002,429906243.144627,429906243.144627,301975.252844699,301975.252844699,0,0
705,2004,0,0,3219916.804711128,3219916.804711128,0,0
705,2005,2816962887.799164,2816962887.799164,138243.864370421,138243.864370421,0,0
705,2006,3882634291.659817,3882634291.659817,4370205.004207274,4370205.004207274,0,0
705,2007,63744537.21158986,63744537.21158986,11262855.25753959,11262855.25753959,0,0
705,2008,12552952613.83346,12552952613.83346,11008425.108025303,11008425.108025303,152458592.194905,152458592.194905
705,2009,11907935662.722523,11907935662.722523,95678.0400751042,95678.0400751042,0,0
705,2010,1158748810.582471,1158748810.582471,1117456.7905428906,1117456.7905428906,0,0
705,2011,3251667423.3831425,3251667423.3831425,78343.3675514393,78343.3675514393,0,0
705,2012,10949769035.636402,10949769035.636402,74791.6706398763,74791.6706398763,0,0
705,2013,338410965.65695,338410965.65695,107325571.3105835,107325571.3105835,451214620.875934,451214620.875934
705,2014,261828022.2281068,261828022.2281068,70521.9662407207,70521.9662407207,553547615.704244,553547615.704244
705,2015,1863169013.968644,1863169013.968644,71488.9537821792,71488.9537821792,0,0
705,2016,2715850369.22447,2715850369.22447,75217.2471824343,75217.2471824343,200736766.420939,200736766.420939
705,2017,4365098093.400385,4365098093.400385,73403.940602236,73403.940602236,583313575.0840166,583313575.0840166
705,2018,1337477025.5572581,1337477025.5572581,31585.2465265919,31585.2465265919,0,0
705,2019,2108004185.0286431,2108004185.0286431,355327042.6547709,355327042.6547709,134827753.471456,134827753.471456
705,2020,799855155.8913727,799855155.8913727,114260299.04509683,114260299.04509683,14853932.1317524,14853932.1317524
705,2021,637000000,637000000,0,0,0,0
712,2000,108505250.25341779,108505250.25341779,0,0,0,0
712,2001,66635250.8364526,66635250.8364526,11544123.8731315,11544123.8731315,0,0
712,2006,1529242.38769028,1529242.38769028,74013358.97304451,74013358.97304451,0,0
712,2007,0,0,12287947.09547871,12287947.09547871,0,0
712,2009,809286270.3682426,809286270.3682426,0,0,0,0
712,2010,222627536.57539597,222627536.57539597,14541633.879837073,14541633.879837073,0,0
712,2011,827978886.9092119,827978886.9092119,171224.708389595,171224.708389595,0,0
712,2012,390839194.432632,390839194.43589085,0,0,0,0
712,2013,1100758538.53296,715493050.0822,0,0,85617974.3112084,85617974.3112084
712,2014,2053035730.4551592,974960088.5039598,37073748.03346794,37073748.03346794,10375696.50876035,10375696.50876035
712,2015,2459953540.3471174,852968067.6917956,1669920.226966987,1669920.226966987,0,0
712,2016,2703543537.5097075,660034917.8278003,81394069.1153022,81394069.1153022,0,0
712,2017,2201270942.926438,154927250.6224482,19117795.41670903,19117795.41670903,0,0
712,2018,2102442041.9093146,125047449.3107546,258755086.18692046,258755086.18692046,0,0
712,2019,2089583628.2840383,126143443.4221085,57969698.45766882,57969698.45766882,0,0
712,2020,2223293058.2029896,280967836.6596898,98732784.75612712,98732784.75612712,0,0
712,2021,1860465116.27906,0,7200000,7200000,0,0
731,2009,34958560.0719176,34958560.0719176,438899746.3587766,438899746.3587766,0,0
731,2010,0,0,920821576.1230781,920821576.1230781,0,0
731,2011,0,0,642168288.0455282,642168288.0455282,0,0
731,2014,0,0,425037022.25739413,425037022.25739413,0,0
731,2018,0,0,333541948.9935378,333541948.9935378,0,0
731,2019,0,0,233716607.47279,233716607.47279,0,0
750,2004,67190737.5956555,67190737.5956555,0,0,0,0
750,2005,108511667.4807074,108511667.4807074,0,0,0,0
750,2006,228546244.1300202,228546244.1300202,0,0,0,0
750,2007,204248062.4992109,204248062.4992109,0,0,0,0
750,2008,1196799948.7299967,1196799948.7299967,0,0,0,0
750,2009,635200049.415408,635200049.415408,0,0,73598492.3654648,73598492.3654648
750,2010,1934497712.4282482,1934497712.4282482,0,0,0,0
750,2011,2631943588.070324,2631943588.070324,0,0,0,0
